Trajectory: 2641 points, duration 41.06s

pt 0027 t=2.449s  j1=0.0422(v=0.0760)  j2=-0.0027(v=0.0045)  j3=-0.0950(v=-0.1515)  j4=-0.4292(v=-0.0453)  j5=0.1015(v=0.1734)  j6=0.4273(v=0.0385)
pt 0028 t=2.470s  j1=0.0438(v=0.0779)  j2=-0.0026(v=0.0053)  j3=-0.0983(v=-0.1546)  j4=-0.4302(v=-0.0435)  j5=0.1053(v=0.1777)  j6=0.4281(v=0.0363)
pt 0029 t=2.491s  j1=0.0455(v=0.0798)  j2=-0.0025(v=0.0062)  j3=-0.1016(v=-0.1577)  j4=-0.4311(v=-0.0419)  j5=0.1090(v=0.1820)  j6=0.4288(v=0.0342)
pt 0030 t=2.512s  j1=0.0471(v=0.0818)  j2=-0.0023(v=0.0070)  j3=-0.1048(v=-0.1608)  j4=-0.4319(v=-0.0404)  j5=0.1128(v=0.1865)  j6=0.4295(v=0.0323)
pt 0031 t=2.532s  j1=0.0488(v=0.0834)  j2=-0.0022(v=0.0079)  j3=-0.1081(v=-0.1632)  j4=-0.4327(v=-0.0389)  j5=0.1166(v=0.1901)  j6=0.4301(v=0.0303)
pt 0032 t=2.551s  j1=0.0504(v=0.0846)  j2=-0.0020(v=0.0088)  j3=-0.1113(v=-0.1649)  j4=-0.4334(v=-0.0374)  j5=0.1203(v=0.1929)  j6=0.4307(v=0.0283)
pt 0033 t=2.571s  j1=0.0521(v=0.0858)  j2=-0.0018(v=0.0096)  j3=-0.1145(v=-0.1665)  j4=-0.4341(v=-0.0359)  j5=0.1241(v=0.1957)  j6=0.4312(v=0.0265)
pt 0034 t=2.590s  j1=0.0537(v=0.0871)  j2=-0.0016(v=0.0105)  j3=-0.1177(v=-0.1682)  j4=-0.4348(v=-0.0346)  j5=0.1278(v=0.1985)  j6=0.4317(v=0.0247)
pt 0035 t=2.609s  j1=0.0554(v=0.0883)  j2=-0.0014(v=0.0115)  j3=-0.1209(v=-0.1699)  j4=-0.4355(v=-0.0334)  j5=0.1316(v=0.2014)  j6=0.4321(v=0.0231)
pt 0036 t=2.627s  j1=0.0570(v=0.0896)  j2=-0.0012(v=0.0124)  j3=-0.1240(v=-0.1716)  j4=-0.4361(v=-0.0323)  j5=0.1354(v=0.2043)  j6=0.4326(v=0.0215)
pt 0037 t=2.646s  j1=0.0587(v=0.0909)  j2=-0.0010(v=0.0134)  j3=-0.1272(v=-0.1733)  j4=-0.4366(v=-0.0312)  j5=0.1391(v=0.2073)  j6=0.4329(v=0.0200)
pt 0038 t=2.664s  j1=0.0603(v=0.0922)  j2=-0.0007(v=0.0144)  j3=-0.1303(v=-0.1750)  j4=-0.4372(v=-0.0303)  j5=0.1429(v=0.2103)  j6=0.4333(v=0.0186)
pt 0039 t=2.681s  j1=0.0620(v=0.0935)  j2=-0.0005(v=0.0154)  j3=-0.1335(v=-0.1768)  j4=-0.4377(v=-0.0294)  j5=0.1467(v=0.2134)  j6=0.4336(v=0.0172)
pt 0040 t=2.699s  j1=0.0636(v=0.0949)  j2=-0.0002(v=0.0165)  j3=-0.1366(v=-0.1785)  j4=-0.4382(v=-0.0286)  j5=0.1504(v=0.2165)  j6=0.4339(v=0.0159)
pt 0041 t=2.716s  j1=0.0653(v=0.0963)  j2=0.0001(v=0.0176)  j3=-0.1397(v=-0.1803)  j4=-0.4387(v=-0.0278)  j5=0.1542(v=0.2196)  j6=0.4342(v=0.0146)
pt 0042 t=2.733s  j1=0.0669(v=0.0977)  j2=0.0004(v=0.0187)  j3=-0.1428(v=-0.1821)  j4=-0.4392(v=-0.0271)  j5=0.1580(v=0.2228)  j6=0.4344(v=0.0134)
pt 0043 t=2.750s  j1=0.0686(v=0.0991)  j2=0.0008(v=0.0198)  j3=-0.1458(v=-0.1839)  j4=-0.4396(v=-0.0265)  j5=0.1617(v=0.2261)  j6=0.4346(v=0.0122)
pt 0044 t=2.766s  j1=0.0702(v=0.1005)  j2=0.0011(v=0.0210)  j3=-0.1489(v=-0.1858)  j4=-0.4401(v=-0.0259)  j5=0.1655(v=0.2294)  j6=0.4348(v=0.0110)
pt 0045 t=2.783s  j1=0.0719(v=0.1020)  j2=0.0014(v=0.0222)  j3=-0.1519(v=-0.1876)  j4=-0.4405(v=-0.0253)  j5=0.1693(v=0.2328)  j6=0.4350(v=0.0099)
pt 0046 t=2.799s  j1=0.0735(v=0.1034)  j2=0.0018(v=0.0234)  j3=-0.1550(v=-0.1895)  j4=-0.4409(v=-0.0248)  j5=0.1730(v=0.2362)  j6=0.4351(v=0.0088)
pt 0047 t=2.815s  j1=0.0752(v=0.1049)  j2=0.0022(v=0.0247)  j3=-0.1580(v=-0.1914)  j4=-0.4413(v=-0.0243)  j5=0.1768(v=0.2396)  j6=0.4353(v=0.0077)
pt 0048 t=2.830s  j1=0.0768(v=0.1059)  j2=0.0026(v=0.0259)  j3=-0.1610(v=-0.1924)  j4=-0.4417(v=-0.0238)  j5=0.1806(v=0.2420)  j6=0.4354(v=0.0066)
pt 0049 t=2.846s  j1=0.0785(v=0.1064)  j2=0.0030(v=0.0269)  j3=-0.1640(v=-0.1924)  j4=-0.4420(v=-0.0231)  j5=0.1843(v=0.2431)  j6=0.4355(v=0.0055)
pt 0050 t=2.861s  j1=0.0801(v=0.1069)  j2=0.0034(v=0.0280)  j3=-0.1670(v=-0.1924)  j4=-0.4424(v=-0.0225)  j5=0.1881(v=0.2442)  j6=0.4355(v=0.0045)
pt 0051 t=2.877s  j1=0.0818(v=0.1073)  j2=0.0039(v=0.0291)  j3=-0.1699(v=-0.1924)  j4=-0.4427(v=-0.0220)  j5=0.1919(v=0.2454)  j6=0.4356(v=0.0035)
pt 0052 t=2.892s  j1=0.0834(v=0.1078)  j2=0.0043(v=0.0302)  j3=-0.1729(v=-0.1924)  j4=-0.4431(v=-0.0214)  j5=0.1957(v=0.2465)  j6=0.4356(v=0.0025)
pt 0053 t=2.907s  j1=0.0851(v=0.1083)  j2=0.0048(v=0.0313)  j3=-0.1758(v=-0.1924)  j4=-0.4434(v=-0.0209)  j5=0.1994(v=0.2477)  j6=0.4357(v=0.0015)
pt 0054 t=2.922s  j1=0.0867(v=0.1088)  j2=0.0053(v=0.0324)  j3=-0.1787(v=-0.1924)  j4=-0.4437(v=-0.0205)  j5=0.2032(v=0.2489)  j6=0.4357(v=0.0006)
pt 0055 t=2.938s  j1=0.0884(v=0.1093)  j2=0.0058(v=0.0335)  j3=-0.1816(v=-0.1924)  j4=-0.4440(v=-0.0200)  j5=0.2070(v=0.2501)  j6=0.4357(v=-0.0003)
pt 0056 t=2.953s  j1=0.0900(v=0.1098)  j2=0.0063(v=0.0346)  j3=-0.1845(v=-0.1924)  j4=-0.4443(v=-0.0196)  j5=0.2107(v=0.2513)  j6=0.4357(v=-0.0012)
pt 0057 t=2.968s  j1=0.0917(v=0.1102)  j2=0.0068(v=0.0358)  j3=-0.1874(v=-0.1924)  j4=-0.4446(v=-0.0192)  j5=0.2145(v=0.2525)  j6=0.4357(v=-0.0021)
pt 0058 t=2.982s  j1=0.0933(v=0.1107)  j2=0.0073(v=0.0369)  j3=-0.1903(v=-0.1924)  j4=-0.4449(v=-0.0189)  j5=0.2183(v=0.2537)  j6=0.4356(v=-0.0030)
pt 0059 t=2.997s  j1=0.0950(v=0.1112)  j2=0.0079(v=0.0381)  j3=-0.1931(v=-0.1924)  j4=-0.4451(v=-0.0185)  j5=0.2220(v=0.2549)  j6=0.4356(v=-0.0038)
pt 0060 t=3.012s  j1=0.0966(v=0.1118)  j2=0.0085(v=0.0392)  j3=-0.1960(v=-0.1924)  j4=-0.4454(v=-0.0182)  j5=0.2258(v=0.2562)  j6=0.4355(v=-0.0046)
pt 0061 t=3.027s  j1=0.0983(v=0.1123)  j2=0.0091(v=0.0404)  j3=-0.1988(v=-0.1924)  j4=-0.4457(v=-0.0179)  j5=0.2296(v=0.2574)  j6=0.4354(v=-0.0054)
pt 0062 t=3.041s  j1=0.0999(v=0.1128)  j2=0.0097(v=0.0416)  j3=-0.2016(v=-0.1924)  j4=-0.4459(v=-0.0176)  j5=0.2334(v=0.2587)  j6=0.4353(v=-0.0062)
pt 0063 t=3.056s  j1=0.1016(v=0.1133)  j2=0.0103(v=0.0428)  j3=-0.2044(v=-0.1924)  j4=-0.4462(v=-0.0173)  j5=0.2371(v=0.2599)  j6=0.4352(v=-0.0070)
pt 0064 t=3.070s  j1=0.1032(v=0.1138)  j2=0.0109(v=0.0441)  j3=-0.2072(v=-0.1924)  j4=-0.4464(v=-0.0171)  j5=0.2409(v=0.2612)  j6=0.4351(v=-0.0078)
pt 0065 t=3.085s  j1=0.1048(v=0.1143)  j2=0.0115(v=0.0453)  j3=-0.2100(v=-0.1924)  j4=-0.4467(v=-0.0169)  j5=0.2447(v=0.2625)  j6=0.4350(v=-0.0085)
pt 0066 t=3.099s  j1=0.1065(v=0.1149)  j2=0.0122(v=0.0465)  j3=-0.2127(v=-0.1924)  j4=-0.4469(v=-0.0166)  j5=0.2485(v=0.2638)  j6=0.4349(v=-0.0093)
pt 0067 t=3.113s  j1=0.1081(v=0.1154)  j2=0.0129(v=0.0478)  j3=-0.2155(v=-0.1924)  j4=-0.4472(v=-0.0164)  j5=0.2522(v=0.2652)  j6=0.4348(v=-0.0100)
pt 0068 t=3.128s  j1=0.1098(v=0.1159)  j2=0.0136(v=0.0491)  j3=-0.2182(v=-0.1924)  j4=-0.4474(v=-0.0162)  j5=0.2560(v=0.2665)  j6=0.4346(v=-0.0107)
pt 0069 t=3.142s  j1=0.1114(v=0.1165)  j2=0.0143(v=0.0504)  j3=-0.2209(v=-0.1924)  j4=-0.4476(v=-0.0161)  j5=0.2598(v=0.2678)  j6=0.4345(v=-0.0115)
pt 0070 t=3.156s  j1=0.1130(v=0.1170)  j2=0.0150(v=0.0517)  j3=-0.2236(v=-0.1924)  j4=-0.4479(v=-0.0159)  j5=0.2636(v=0.2692)  j6=0.4343(v=-0.0122)
pt 0071 t=3.170s  j1=0.1147(v=0.1176)  j2=0.0157(v=0.0530)  j3=-0.2263(v=-0.1924)  j4=-0.4481(v=-0.0158)  j5=0.2673(v=0.2706)  j6=0.4341(v=-0.0129)
pt 0072 t=3.184s  j1=0.1163(v=0.1181)  j2=0.0165(v=0.0543)  j3=-0.2290(v=-0.1924)  j4=-0.4483(v=-0.0156)  j5=0.2711(v=0.2720)  j6=0.4339(v=-0.0136)
